1;0
2;1
3;1
4;0
5;2
6;2
7;7
8;2
9;12
10;16
11;23
12;24
13;48
14;69
15;104
16;156
17;203
18;296
19;410
20;518
21;693
22;934
23;1220
24;1585
25;1939
26;2501
27;3290
28;4001
29;4791
30;6030
31;7278
32;8742
33;10276
34;12054
35;14259
36;16066
37;17974
38;20476
39;22713
40;25490
41;27706
42;30083
43;32316
44;34304
45;36080
46;37779
47;38670
48;39774
49;39847
50;39674
51;39338
52;38037
53;37123
54;36061
55;34110
56;32428
57;30330
58;27804
59;25333
60;22916
61;20552
62;18397
63;16072
64;13836
65;12069
66;10317
67;8772
68;7362
69;5975
70;4947
71;4076
72;3184
73;2496
74;1998
75;1594
76;1120
77;885
78;665
79;486
80;375
81;239
82;187
83;144
84;117
85;64
86;53
87;35
88;23
89;13
90;8
91;4
92;5
93;2
94;5
95;1
96;1
97;0
98;2
99;0
